Time,People_Count,Violations,Min_Distance
20:51:08,0,0,
20:51:08,0,0,
20:51:08,0,0,
20:51:08,0,0,
20:51:08,0,0,
20:51:08,0,0,
20:51:08,0,0,
20:51:08,0,0,
20:51:08,0,0,
20:51:08,0,0,
20:51:09,0,0,
20:51:09,0,0,
20:51:09,0,0,
20:51:09,0,0,
20:51:09,0,0,
20:51:09,0,0,
20:51:09,0,0,
20:51:09,0,0,
20:51:09,0,0,
20:51:09,0,0,
20:51:09,0,0,
20:51:09,0,0,
20:51:09,0,0,
20:51:09,0,0,
20:51:09,0,0,
20:51:09,0,0,
20:51:09,0,0,
20:51:09,0,0,
20:51:09,0,0,
20:51:09,1,0,
20:51:10,0,0,
20:51:10,0,0,
20:51:10,0,0,
20:51:10,0,0,
20:51:10,0,0,
20:51:10,0,0,
20:51:10,0,0,
20:51:10,0,0,
20:51:10,0,0,
20:51:10,0,0,
20:51:10,1,0,
20:51:10,0,0,
20:51:10,0,0,
20:51:10,0,0,
20:51:10,0,0,
20:51:10,0,0,
20:51:10,0,0,
20:51:11,0,0,
20:51:11,0,0,
20:51:11,0,0,
20:51:11,1,0,
20:51:11,1,0,
20:51:11,0,0,
20:51:11,1,0,
20:51:11,1,0,
20:51:11,0,0,
20:51:11,0,0,
20:51:11,0,0,
20:51:11,0,0,
20:51:11,0,0,
20:51:11,0,0,
20:51:11,0,0,
20:51:12,0,0,
20:51:12,0,0,
20:51:12,0,0,
20:51:12,0,0,
20:51:12,0,0,
20:51:12,0,0,
20:51:12,1,0,
20:51:12,0,0,
20:51:12,1,0,
20:51:12,1,0,
20:51:12,1,0,
20:51:12,1,0,
20:51:12,1,0,
20:51:12,1,0,
20:51:12,1,0,
20:51:13,1,0,
20:51:13,1,0,
20:51:13,1,0,
20:51:13,1,0,
20:51:13,1,0,
20:51:13,1,0,
20:51:13,1,0,
20:51:13,1,0,
20:51:13,0,0,
20:51:13,0,0,
20:51:13,0,0,
20:51:13,0,0,
20:51:13,0,0,
20:51:13,1,0,
20:51:13,0,0,
20:51:14,1,0,
20:51:14,0,0,
20:51:14,1,0,
20:51:14,1,0,
20:51:14,0,0,
20:51:14,1,0,
20:51:14,1,0,
20:51:14,0,0,
20:51:14,0,0,
20:51:14,0,0,
20:51:14,3,1,199.50040258617977
20:51:14,2,0,912.6516321201266
20:51:14,2,0,877.738144002033
20:51:14,2,0,856.8492866142303
20:51:14,1,0,
20:51:15,2,0,814.2626688467509
20:51:15,2,0,794.4580274449452
20:51:15,2,0,796.3219208514172
20:51:15,2,0,802.8416995872644
20:51:15,2,0,798.2318432588761
20:51:15,2,0,795.9353442962014
20:51:15,2,0,797.6084557448372
20:51:15,2,0,797.6284984336161
20:51:15,2,0,799.247949972562
20:51:15,2,0,819.8598278114375
20:51:15,2,0,812.7905626090613
20:51:15,2,0,812.597652349962
20:51:15,1,0,
20:51:15,1,0,
20:51:15,1,0,
20:51:15,1,0,
20:51:15,1,0,
20:51:15,1,0,
20:51:15,1,0,
20:51:15,1,0,
20:51:16,1,0,
20:51:16,1,0,
20:51:16,1,0,
20:51:16,1,0,
20:51:16,1,0,
20:51:16,1,0,
20:51:16,1,0,
20:51:16,1,0,
20:51:16,1,0,
20:51:16,1,0,
20:51:16,1,0,
20:51:16,1,0,
20:51:16,2,0,910.4522063952172
20:51:16,2,0,926.51065856912
20:51:16,2,0,883.6335552614997
20:51:16,2,0,875.7381286514652
20:51:16,2,0,901.1123241517834
20:51:16,2,0,908.5866356033305
20:51:16,2,0,939.6670841023882
20:51:16,1,0,
20:51:17,1,0,
20:51:17,1,0,
20:51:17,1,0,
20:51:17,1,0,
20:51:17,1,0,
20:51:17,1,0,
20:51:17,1,0,
20:51:17,1,0,
20:51:17,1,0,
20:51:17,1,0,
20:51:17,1,0,
20:51:17,1,0,
20:51:17,1,0,
20:51:17,1,0,
20:51:17,1,0,
20:51:17,1,0,
20:51:17,1,0,
20:51:17,1,0,
20:51:17,1,0,
20:51:17,1,0,
20:51:18,1,0,
20:51:18,1,0,
20:51:18,1,0,
20:51:18,1,0,
20:51:18,1,0,
20:51:18,1,0,
20:51:18,1,0,
20:51:18,1,0,
20:51:18,1,0,
20:51:18,1,0,
20:51:18,1,0,
20:51:18,1,0,
20:51:18,1,0,
20:51:18,1,0,
20:51:18,1,0,
20:51:18,1,0,
20:51:18,2,0,920.7154437853893
20:51:18,2,0,922.0128995937779
20:51:18,2,0,921.7806905839196
20:51:19,2,0,927.2840163867761
20:51:19,2,0,951.2729211781219
20:51:19,1,0,
20:51:19,1,0,
20:51:19,1,0,
20:51:19,1,0,
20:51:19,1,0,
20:51:19,1,0,
20:51:19,1,0,
20:51:19,1,0,
20:51:19,1,0,
20:51:19,1,0,
20:51:19,1,0,
20:51:19,1,0,
20:51:19,1,0,
20:51:19,1,0,
20:51:19,1,0,
20:51:19,1,0,
20:51:19,1,0,
20:51:19,1,0,
20:51:20,1,0,
20:51:20,1,0,
20:51:20,1,0,
20:51:20,1,0,
20:51:20,1,0,
20:51:20,1,0,
20:51:20,1,0,
20:51:20,1,0,
20:51:20,1,0,
20:51:20,1,0,
20:51:20,1,0,
20:51:20,1,0,
20:51:20,1,0,
20:51:20,1,0,
20:51:20,1,0,
20:51:20,1,0,
20:51:20,1,0,
20:51:20,1,0,
20:51:20,1,0,
20:51:20,1,0,
20:51:21,1,0,
20:51:21,1,0,
20:51:21,1,0,
20:51:21,1,0,
20:51:21,1,0,
20:51:21,1,0,
20:51:21,1,0,
20:51:21,1,0,
20:51:21,1,0,
20:51:21,1,0,
20:51:21,1,0,
20:51:21,1,0,
20:51:21,1,0,
20:51:21,1,0,
20:51:21,1,0,
20:51:21,1,0,
20:51:21,1,0,
20:51:21,1,0,
20:51:21,1,0,
20:51:21,1,0,
20:51:22,1,0,
20:51:22,1,0,
20:51:22,1,0,
20:51:22,1,0,
20:51:22,1,0,
20:51:22,1,0,
20:51:22,1,0,
20:51:22,1,0,
20:51:22,1,0,
20:51:22,1,0,
20:51:22,1,0,
20:51:22,1,0,
20:51:22,1,0,
20:51:22,1,0,
20:51:22,1,0,
20:51:22,1,0,
20:51:22,1,0,
20:51:22,1,0,
20:51:22,1,0,
20:51:22,1,0,
20:51:23,1,0,
20:51:23,1,0,
20:51:23,1,0,
20:51:23,1,0,
20:51:23,1,0,
20:51:23,1,0,
20:51:23,1,0,
20:51:23,1,0,
20:51:23,1,0,
20:51:23,1,0,
20:51:23,1,0,
20:51:23,1,0,
20:51:23,1,0,
20:51:23,1,0,
20:51:23,1,0,
20:51:23,1,0,
20:51:23,1,0,
20:51:23,1,0,
20:51:23,1,0,
20:51:23,1,0,
20:51:24,1,0,
20:51:24,1,0,
20:51:24,1,0,
20:51:24,1,0,
20:51:24,1,0,
20:51:24,1,0,
20:51:24,1,0,
20:51:24,1,0,
20:51:24,1,0,
20:51:24,1,0,
20:51:24,1,0,
20:51:24,1,0,
20:51:24,1,0,
20:51:24,1,0,
20:51:24,1,0,
20:51:24,1,0,
20:51:24,1,0,
20:51:24,1,0,
20:51:24,1,0,
20:51:24,1,0,
20:51:25,1,0,
20:51:25,1,0,
20:51:25,1,0,
20:51:25,1,0,
20:51:25,1,0,
20:51:25,1,0,
20:51:25,1,0,
20:51:25,1,0,
20:51:25,1,0,
20:51:25,1,0,
20:51:25,1,0,
20:51:25,1,0,
20:51:25,1,0,
20:51:25,1,0,
20:51:25,1,0,
20:51:25,1,0,
20:51:25,1,0,
20:51:25,1,0,
20:51:25,1,0,
20:51:25,1,0,
20:51:26,1,0,
20:51:26,1,0,
20:51:26,1,0,
20:51:26,1,0,
20:51:26,1,0,
20:51:26,1,0,
20:51:26,1,0,
20:51:26,1,0,
20:51:26,2,1,151.3917375855895
20:51:26,1,0,
20:51:26,1,0,
20:51:26,1,0,
20:51:26,1,0,
20:51:26,1,0,
20:51:26,1,0,
20:51:26,1,0,
20:51:26,1,0,
20:51:26,1,0,
20:51:26,1,0,
20:51:26,1,0,
20:51:27,1,0,
20:51:27,1,0,
20:51:27,1,0,
20:51:27,1,0,
20:51:27,1,0,
20:51:27,1,0,
20:51:27,1,0,
20:51:27,1,0,
20:51:27,1,0,
20:51:27,1,0,
20:51:27,1,0,
20:51:27,1,0,
20:51:27,1,0,
20:51:27,1,0,
20:51:27,1,0,
20:51:27,1,0,
20:51:27,1,0,
20:51:27,1,0,
20:51:27,1,0,
20:51:27,1,0,
20:51:28,0,0,
20:51:28,0,0,
20:51:28,0,0,
20:51:28,0,0,
20:51:28,0,0,
20:51:28,0,0,
20:51:28,0,0,
20:51:28,0,0,
20:51:28,0,0,
20:51:28,0,0,
20:51:28,0,0,
20:51:28,0,0,
20:51:28,0,0,
20:51:28,0,0,
20:51:28,0,0,
20:51:28,0,0,
20:51:28,0,0,
20:51:28,0,0,
20:51:28,0,0,
20:51:28,0,0,
20:51:28,0,0,
20:51:28,0,0,
20:51:28,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:29,0,0,
20:51:30,0,0,
20:51:30,0,0,
20:51:30,0,0,
20:51:30,0,0,
20:51:30,0,0,
20:51:30,0,0,
20:51:30,0,0,
20:51:30,0,0,
20:51:30,0,0,
20:51:30,0,0,
20:51:30,0,0,
20:51:30,0,0,
20:51:30,0,0,
20:51:30,0,0,
20:51:30,0,0,
20:51:30,0,0,
20:51:30,0,0,
20:51:30,0,0,
20:51:30,0,0,
20:51:30,0,0,
20:51:31,0,0,
20:51:31,0,0,
20:51:31,0,0,
20:51:31,0,0,
20:51:31,0,0,
20:51:31,0,0,
20:51:31,0,0,
20:51:31,0,0,
20:51:31,0,0,
20:51:31,0,0,
20:51:31,0,0,
20:51:31,0,0,
20:51:31,0,0,
20:51:31,0,0,
20:51:31,0,0,
20:51:31,0,0,
20:51:31,0,0,
20:51:31,0,0,
20:51:31,0,0,
20:51:31,0,0,
20:51:32,0,0,
20:51:32,0,0,
20:51:32,0,0,
20:51:32,0,0,
20:51:32,0,0,
20:51:32,0,0,
20:51:32,0,0,
20:51:32,0,0,
20:51:32,0,0,
20:51:32,0,0,
20:51:32,0,0,
20:51:32,0,0,
20:51:32,0,0,
20:51:32,0,0,
20:51:32,0,0,
20:51:32,0,0,
20:51:32,0,0,
20:51:32,0,0,
20:51:32,0,0,
20:51:32,0,0,
20:51:33,0,0,
20:51:33,0,0,
20:51:33,0,0,
20:51:33,0,0,
20:51:33,0,0,
20:51:33,0,0,
20:51:33,0,0,
20:51:33,0,0,
20:51:33,0,0,
20:51:33,0,0,
20:51:33,0,0,
20:51:33,0,0,
20:51:33,0,0,
20:51:33,0,0,
20:51:33,0,0,
20:51:33,0,0,
20:51:33,0,0,
20:51:33,0,0,
20:51:33,0,0,
20:51:33,0,0,
20:51:34,0,0,
20:51:34,0,0,
20:51:34,0,0,
20:51:34,0,0,
20:51:34,0,0,
20:51:34,0,0,
20:51:34,0,0,
20:51:34,0,0,
20:51:34,0,0,
20:51:34,0,0,
20:51:34,0,0,
20:51:34,0,0,
20:51:34,0,0,
20:51:34,0,0,
20:51:34,0,0,
20:51:34,0,0,
20:51:34,0,0,
20:51:34,0,0,
20:51:34,0,0,
20:51:34,0,0,
20:51:35,0,0,
20:51:35,0,0,
20:51:35,0,0,
20:51:35,0,0,
20:51:35,0,0,
20:51:35,0,0,
20:51:35,0,0,
20:51:35,0,0,
20:51:35,0,0,
20:51:35,0,0,
20:51:35,0,0,
20:51:35,0,0,
20:51:35,0,0,
20:51:35,0,0,
20:51:35,0,0,
20:51:35,0,0,
20:51:35,0,0,
20:51:35,0,0,
20:51:35,0,0,
20:51:35,0,0,
20:51:36,0,0,
20:51:36,0,0,
20:51:36,0,0,
20:51:36,0,0,
20:51:36,0,0,
20:51:36,0,0,
20:51:36,0,0,
20:51:36,0,0,
20:51:36,0,0,
20:51:36,0,0,
20:51:36,0,0,
20:51:36,0,0,
20:51:36,0,0,
20:51:36,0,0,
20:51:36,0,0,
20:51:36,0,0,
20:51:36,0,0,
20:51:36,0,0,
20:51:36,0,0,
20:51:36,0,0,
20:51:37,0,0,
20:51:37,0,0,
20:51:37,0,0,
20:51:37,0,0,
20:51:37,0,0,
20:51:37,0,0,
20:51:37,0,0,
20:51:37,0,0,
20:51:37,0,0,
20:51:37,0,0,
20:51:37,0,0,
20:51:37,0,0,
20:51:37,0,0,
20:51:37,0,0,
20:51:37,0,0,
20:51:37,0,0,
20:51:37,0,0,
20:51:37,0,0,
20:51:37,0,0,
20:51:37,0,0,
20:51:38,0,0,
20:51:38,0,0,
20:51:38,0,0,
20:51:38,0,0,
20:51:38,0,0,
20:51:38,0,0,
20:51:38,0,0,
20:51:38,0,0,
20:51:38,0,0,
20:51:38,0,0,
20:51:38,0,0,
20:51:38,0,0,
20:51:38,0,0,
20:51:38,0,0,
20:51:38,0,0,
20:51:38,0,0,
20:51:38,0,0,
20:51:38,0,0,
20:51:38,0,0,
20:51:38,0,0,
20:51:39,0,0,
20:51:39,0,0,
20:51:39,0,0,
20:51:39,0,0,
20:51:39,0,0,
20:51:39,0,0,
20:51:39,0,0,
20:51:39,0,0,
20:51:39,0,0,
20:51:39,0,0,
20:51:39,0,0,
20:51:39,0,0,
20:51:39,0,0,
20:51:39,0,0,
20:51:39,0,0,
20:51:39,0,0,
20:51:39,0,0,
20:51:39,0,0,
20:51:39,0,0,
20:51:39,0,0,
20:51:40,0,0,
20:51:40,0,0,
20:51:40,0,0,
20:51:40,0,0,
20:51:40,0,0,
20:51:40,0,0,
20:51:40,0,0,
20:51:40,0,0,
20:51:40,0,0,
20:51:40,0,0,
20:51:40,0,0,
20:51:40,0,0,
20:51:40,0,0,
20:51:40,0,0,
20:51:40,0,0,
20:51:40,0,0,
20:51:40,0,0,
20:51:40,0,0,
20:51:40,0,0,
20:51:41,0,0,
20:51:41,0,0,
20:51:41,0,0,
20:51:41,0,0,
20:51:41,0,0,
20:51:41,0,0,
20:51:41,0,0,
20:51:41,0,0,
20:51:41,0,0,
20:51:41,0,0,
20:51:41,0,0,
20:51:41,0,0,
20:51:41,0,0,
20:51:41,0,0,
20:51:41,0,0,
20:51:41,0,0,
20:51:41,0,0,
20:51:41,0,0,
20:51:41,0,0,
20:51:41,0,0,
20:51:42,0,0,
20:51:42,0,0,
20:51:42,0,0,
20:51:42,0,0,
20:51:42,0,0,
20:51:42,0,0,
20:51:42,0,0,
20:51:42,0,0,
20:51:42,0,0,
20:51:42,0,0,
20:51:42,0,0,
20:51:42,0,0,
20:51:42,0,0,
20:51:42,0,0,
20:51:42,0,0,
20:51:42,0,0,
20:51:42,0,0,
20:51:42,0,0,
20:51:42,0,0,
20:51:42,0,0,
20:51:43,0,0,
20:51:43,0,0,
20:51:43,0,0,
20:51:43,0,0,
20:51:43,0,0,
20:51:43,0,0,
20:51:43,0,0,
20:51:43,0,0,
20:51:43,0,0,
20:51:43,0,0,
20:51:43,0,0,
20:51:43,0,0,
20:51:43,0,0,
20:51:43,0,0,
20:51:43,0,0,
20:51:43,0,0,
20:51:43,0,0,
20:51:43,0,0,
20:51:43,0,0,
20:51:43,0,0,
20:51:44,0,0,
20:51:44,0,0,
20:51:44,0,0,
20:51:44,0,0,
20:51:44,0,0,
20:51:44,0,0,
20:51:44,0,0,
20:51:44,0,0,
20:51:44,0,0,
20:51:44,0,0,
20:51:44,0,0,
20:51:44,0,0,
20:51:44,0,0,
20:51:44,0,0,
20:51:44,0,0,
20:51:44,0,0,
20:51:44,0,0,
20:51:44,0,0,
20:51:44,0,0,
20:51:44,0,0,
20:51:45,0,0,
20:51:45,0,0,
20:51:45,0,0,
20:51:45,0,0,
20:51:45,0,0,
20:51:45,0,0,
20:51:45,0,0,
20:51:45,0,0,
20:51:45,0,0,
20:51:45,0,0,
20:51:45,0,0,
20:51:45,0,0,
20:51:45,0,0,
20:51:45,0,0,
20:51:45,0,0,
20:51:45,0,0,
20:51:45,0,0,
20:51:45,0,0,
20:51:45,0,0,
20:51:45,0,0,
20:51:46,0,0,
20:51:46,0,0,
20:51:46,0,0,
20:51:46,0,0,
20:51:46,0,0,
20:51:46,0,0,
20:51:46,0,0,
20:51:46,0,0,
20:51:46,0,0,
20:51:46,0,0,
20:51:46,0,0,
20:51:46,0,0,
20:51:46,0,0,
20:51:46,0,0,
20:51:46,0,0,
20:51:46,0,0,
20:51:46,0,0,
20:51:46,0,0,
20:51:46,0,0,
20:51:46,0,0,
20:51:47,0,0,
20:51:47,0,0,
20:51:47,0,0,
20:51:47,0,0,
20:51:47,0,0,
20:51:47,0,0,
20:51:47,0,0,
20:51:47,0,0,
20:51:47,0,0,
20:51:47,0,0,
20:51:47,0,0,
20:51:47,0,0,
20:51:47,0,0,
20:51:47,0,0,
20:51:47,0,0,
20:51:47,0,0,
20:51:47,0,0,
20:51:47,0,0,
20:51:47,0,0,
20:51:47,0,0,
20:51:48,0,0,
20:51:48,0,0,
20:51:48,0,0,
20:51:48,0,0,
20:51:48,0,0,
20:51:48,0,0,
20:51:48,0,0,
20:51:48,0,0,
20:51:48,0,0,
20:51:48,0,0,
20:51:48,0,0,
20:51:48,0,0,
20:51:48,0,0,
20:51:48,0,0,
20:51:48,0,0,
20:51:48,0,0,
20:51:48,0,0,
20:51:48,0,0,
20:51:48,0,0,
20:51:48,0,0,
20:51:49,0,0,
20:51:49,0,0,
20:51:49,0,0,
20:51:49,0,0,
20:51:49,0,0,
20:51:49,0,0,
20:51:49,0,0,
20:51:49,0,0,
20:51:49,0,0,
20:51:49,0,0,
20:51:49,0,0,
20:51:49,0,0,
20:51:49,0,0,
20:51:49,0,0,
20:51:49,0,0,
20:51:49,0,0,
20:51:49,0,0,
20:51:49,0,0,
20:51:49,0,0,
20:51:49,0,0,
20:51:50,0,0,
20:51:50,0,0,
20:51:50,0,0,
20:51:50,0,0,
20:51:50,0,0,
20:51:50,0,0,
20:51:50,0,0,
20:51:50,0,0,
20:51:50,0,0,
20:51:50,0,0,
20:51:50,0,0,
20:51:50,0,0,
20:51:50,0,0,
20:51:50,0,0,
20:51:50,0,0,
20:51:50,0,0,
20:51:50,0,0,
20:51:50,0,0,
20:51:50,0,0,
20:51:50,0,0,
20:51:51,0,0,
20:51:51,0,0,
20:51:51,0,0,
20:51:51,0,0,
20:51:51,0,0,
20:51:51,0,0,
20:51:51,0,0,
20:51:51,0,0,
20:51:51,0,0,
20:51:51,0,0,
20:51:51,0,0,
20:51:51,0,0,
20:51:51,0,0,
20:51:51,0,0,
20:51:51,0,0,
20:51:51,0,0,
20:51:51,0,0,
20:51:51,0,0,
20:51:51,0,0,
20:51:51,0,0,
20:51:52,0,0,
20:51:52,0,0,
20:51:52,0,0,
20:51:52,0,0,
20:51:52,0,0,
20:51:52,0,0,
20:51:52,0,0,
20:51:52,0,0,
20:51:52,0,0,
20:51:52,0,0,
20:51:52,0,0,
20:51:52,0,0,
20:51:52,0,0,
20:51:52,0,0,
20:51:52,0,0,
20:51:52,0,0,
20:51:52,0,0,
20:51:52,0,0,
20:51:52,0,0,
20:51:53,0,0,
20:51:53,0,0,
20:51:53,0,0,
20:51:53,0,0,
20:51:53,0,0,
20:51:53,0,0,
20:51:53,0,0,
20:51:53,0,0,
20:51:53,0,0,
20:51:53,0,0,
20:51:53,0,0,
20:51:53,0,0,
20:51:53,0,0,
20:51:53,0,0,
